model,rate,seed,channel,mse,mae
LSTM,0.2,1,wind_u,2.0873620132805923,1.0935520595974393
LSTM,0.2,1,wind_v,2.0650697059502905,1.0406420736601858
Latent ODE,0.2,1,water_level,0.2621827402733511,0.4081491986140546
Latent ODE,0.2,1,air_temp,2.3320009325531457,1.1033985742400974
Latent ODE,0.2,1,water_temp,0.7243441318650664,0.5843487836529221
Latent ODE,0.2,1,air_pressure,4.102443471344378,1.5092016388089144
Latent ODE,0.2,1,wind_u,2.102937338729499,1.1099450564143634
Latent ODE,0.2,1,wind_v,3.348526964283953,1.4179076987886268
LSTM,0.2,2,water_level,0.011794871408194178,0.08418328197643148
LSTM,0.2,2,air_temp,1.4202907486596477,0.8594573287980138
LSTM,0.2,2,water_temp,0.6182962887276239,0.5514598990119985
LSTM,0.2,2,air_pressure,2.69821233702611,1.2362002232202363
LSTM,0.2,2,wind_u,2.091873066192524,1.0953625348280576
LSTM,0.2,2,wind_v,2.0733904405073686,1.0419327482229932
Latent ODE,0.2,2,water_level,0.2621933897704564,0.40813350195430764
Latent ODE,0.2,2,air_temp,2.3687627641446403,1.1037166658101698
Latent ODE,0.2,2,water_temp,0.7089791342554439,0.5781878773070306
Latent ODE,0.2,2,air_pressure,4.164080436968503,1.5173737763290747
Latent ODE,0.2,2,wind_u,2.0599814649382826,1.0942536652690233
Latent ODE,0.2,2,wind_v,3.364748386421589,1.419647464045772
LSTM,0.2,3,water_level,0.011537246224050675,0.08373690796380497
LSTM,0.2,3,air_temp,1.4467325428193707,0.8658021409060559
LSTM,0.2,3,water_temp,0.6239114134705667,0.5523138363948451
LSTM,0.2,3,air_pressure,2.6772968197051945,1.2300349435055782
LSTM,0.2,3,wind_u,2.0916108667649804,1.0945045458347307
LSTM,0.2,3,wind_v,2.0683144977197103,1.0395178939356948
Latent ODE,0.2,3,water_level,0.26215163418095755,0.40821691752484396
Latent ODE,0.2,3,air_temp,2.3755808183698925,1.1125920597335937
Latent ODE,0.2,3,water_temp,0.7291251044893171,0.581646850107543
Latent ODE,0.2,3,air_pressure,4.121519948251976,1.5262851174082628
Latent ODE,0.2,3,wind_u,2.0899749396224614,1.1022465702660558
Latent ODE,0.2,3,wind_v,3.344693732984138,1.4147242953881671
LSTM,0.2,4,water_level,0.011612115131272121,0.08332601071609201
LSTM,0.2,4,air_temp,1.439690793900379,0.8661401398427503
LSTM,0.2,4,water_temp,0.6246417340644689,0.5504357047052962
LSTM,0.2,4,air_pressure,2.6895382344837153,1.2329867853745136
LSTM,0.2,4,wind_u,2.0740981439147332,1.0919089204935915
LSTM,0.2,4,wind_v,2.0832406374741885,1.0444459048184482
Latent ODE,0.2,4,water_level,0.2621829178319222,0.40832526440769057
Latent ODE,0.2,4,air_temp,2.377384430667082,1.1107646724923024
Latent ODE,0.2,4,water_temp,0.7195997132264579,0.5770079523240614
Latent ODE,0.2,4,air_pressure,4.029892799213106,1.50348076115643
Latent ODE,0.2,4,wind_u,2.099303383618493,1.1058448444713245
Latent ODE,0.2,4,wind_v,3.34195556383743,1.4140956120860295
LSTM,0.4,0,water_level,0.016806138094072092,0.09645761053604344
LSTM,0.4,0,air_temp,1.4280665664689123,0.854568352905716
LSTM,0.4,0,water_temp,0.6151552505542996,0.5557055997609729
LSTM,0.4,0,air_pressure,2.6294981406731095,1.2079889122980647
LSTM,0.4,0,wind_u,2.102310244884555,1.0966521625968342
LSTM,0.4,0,wind_v,2.05904132509071,1.035066129382612
Latent ODE,0.4,0,water_level,0.26235653235315776,0.40809530115167736
Latent ODE,0.4,0,air_temp,2.3804125941417498,1.1082449400696985
Latent ODE,0.4,0,water_temp,0.7182270949530025,0.6029509900053835
Latent ODE,0.4,0,air_pressure,4.50340869437405,1.5608085230434594
Latent ODE,0.4,0,wind_u,2.127236176821519,1.107270314637258
Latent ODE,0.4,0,wind_v,3.3578021373813,1.430657634028682
LSTM,0.4,1,water_level,0.01756568723801514,0.09743531993586373
LSTM,0.4,1,air_temp,1.4264522413374594,0.8530722642712665
LSTM,0.4,1,water_temp,0.6188809332337848,0.5548041036594623
LSTM,0.4,1,air_pressure,2.7085350949414937,1.2236113870644727
LSTM,0.4,1,wind_u,2.0778957328411063,1.087427996625804
LSTM,0.4,1,wind_v,2.0410591729160914,1.034974865640454
Latent ODE,0.4,1,water_level,0.26241816365628456,0.4081340772119408
Latent ODE,0.4,1,air_temp,2.3331254685349645,1.1031441764807137
Latent ODE,0.4,1,water_temp,0.7065360851856766,0.5891643551577936
