model,rate,seed,channel,mse,mae,nmse,skill,mode
Persistence,0.5,0,water_temp,0.9867730895326835,0.6427765244200809,0.13682043419393677,1.0,irregular
Persistence,0.5,0,air_pressure,3.498053067523225,1.4114521413609602,0.2787746122696984,1.0,irregular
Persistence,0.5,0,wind_u,2.9254698075267607,1.3006026699372983,0.7888027669746184,1.0,irregular
Persistence,0.5,0,wind_v,5.594816939154668,1.7128451721585212,1.354926651034524,1.0,irregular
LSTM,0.5,1,water_level,0.4392839517707152,0.5297959744682945,1.7146485741152735,0.7813940245344378,irregular
LSTM,0.5,1,air_temp,2.5657559496794047,1.1440562619003172,0.2983381401581607,0.6887862923050014,irregular
LSTM,0.5,1,water_temp,0.7535045886410267,0.6389845853194291,0.10447672932975167,0.7637005285367771,irregular
LSTM,0.5,1,air_pressure,4.1834194785881085,1.585959191133034,0.33339435411442936,1.1960144365816947,irregular
LSTM,0.5,1,wind_u,2.2007046250956965,1.1365744921303111,0.5933822639710994,0.7522568236505601,irregular
LSTM,0.5,1,wind_v,3.660814263927403,1.4657397876133769,0.8865589106177276,0.6543224387392598,irregular
Latent ODE,0.5,1,water_level,0.21397639735605706,0.3704644342675743,0.8352099436866917,0.38061913623628035,irregular
Latent ODE,0.5,1,air_temp,2.584906561137798,1.1351649042589027,0.30056491383322614,0.693927341929557,irregular
Latent ODE,0.5,1,water_temp,1.1044639089547041,0.7780892510122808,0.1531387845672601,1.119408804848487,irregular
Latent ODE,0.5,1,air_pressure,2.9258477382864228,1.27048031398915,0.2331731546252639,0.8364822490647015,irregular
Latent ODE,0.5,1,wind_u,2.144479378835479,1.1077789082060603,0.5782220904804067,0.7330376041885923,irregular
Latent ODE,0.5,1,wind_v,3.0943639364655735,1.3559389159355195,0.74937861436996,0.5530768870756131,irregular
Persistence,0.5,1,water_level,0.5621798196274215,0.5865985758571703,2.19434564416701,1.0,irregular
Persistence,0.5,1,air_temp,3.725039215128954,1.3286240086338146,0.4331360009499922,1.0,irregular
Persistence,0.5,1,water_temp,0.9866492957451719,0.6426157535336281,0.13680326964016296,1.0,irregular
Persistence,0.5,1,air_pressure,3.497800152433492,1.411351313487844,0.27875445639878493,1.0,irregular
Persistence,0.5,1,wind_u,2.9254698075267607,1.3006026699372983,0.7888027669746184,1.0,irregular
Persistence,0.5,1,wind_v,5.594816939154668,1.7128451721585212,1.354926651034524,1.0,irregular
LSTM,0.5,2,water_level,0.4319421267484728,0.5259636315567365,1.6859913701472067,0.768334457531289,irregular
LSTM,0.5,2,air_temp,2.5106572436825663,1.130394855484044,0.2919314335989215,0.6739948490973543,irregular
LSTM,0.5,2,water_temp,0.7801200731390926,0.6451703806526535,0.10816708345871555,0.7906761566681126,irregular
LSTM,0.5,2,air_pressure,4.022325428311901,1.5347181455199144,0.3205560893603436,1.1499586177081862,irregular
LSTM,0.5,2,wind_u,2.1976320753445475,1.1403349496634247,0.5925538036194875,0.7512065479843256,irregular
LSTM,0.5,2,wind_v,3.591380220888859,1.4553151933312614,0.8697436981764399,0.641912016058114,irregular
Latent ODE,0.5,2,water_level,0.21397639735605706,0.3704644342675743,0.8352099436866917,0.38061913623628035,irregular
Latent ODE,0.5,2,air_temp,2.584906561137798,1.1351649042589027,0.30056491383322614,0.693927341929557,irregular
Latent ODE,0.5,2,water_temp,1.1044639089547041,0.7780892510122808,0.1531387845672601,1.119408804848487,irregular
Latent ODE,0.5,2,air_pressure,2.9258477382864228,1.27048031398915,0.2331731546252639,0.8364822490647015,irregular
Latent ODE,0.5,2,wind_u,2.144479378835479,1.1077789082060603,0.5782220904804067,0.7330376041885923,irregular
Latent ODE,0.5,2,wind_v,3.0943639364655735,1.3559389159355195,0.74937861436996,0.5530768870756131,irregular
Persistence,0.5,2,water_level,0.5621798196274215,0.5865985758571703,2.19434564416701,1.0,irregular
Persistence,0.5,2,air_temp,3.725039215128954,1.3286240086338146,0.4331360009499922,1.0,irregular
Persistence,0.5,2,water_temp,0.9866492957451719,0.6426157535336281,0.13680326964016296,1.0,irregular
Persistence,0.5,2,air_pressure,3.497800152433492,1.411351313487844,0.27875445639878493,1.0,irregular
Persistence,0.5,2,wind_u,2.9254698075267607,1.3006026699372983,0.7888027669746184,1.0,irregular
Persistence,0.5,2,wind_v,5.594816939154668,1.7128451721585212,1.354926651034524,1.0,irregular
LSTM,0.5,3,water_level,0.4548374310074011,0.5410922079165447,1.7753581695562533,0.8090604022549931,irregular
LSTM,0.5,3,air_temp,2.636559492849147,1.154042753545308,0.3065709564509606,0.7077937547988671,irregular
LSTM,0.5,3,water_temp,0.7850126381025181,0.6490811731271039,0.10884545913567582,0.795634924676689,irregular
